weight_scenario,vehicle,available_component_count,missing_components,valid_for_fei,effective_fes_weight,effective_res_weight,effective_ies_weight,effective_dss_weight,before_fei_lite,after_fei_lite,fei_absolute_change,fei_percentage_change,change_status,after_rank
legacy_40_25_20_15,LDV_05,4,,True,0.4,0.25,0.2,0.15,85.15600155764433,83.20304467233356,-1.952956885310769,-2.2933872534970554,Declined,12
legacy_40_25_20_15,LDV_06,4,,True,0.4,0.25,0.2,0.15,81.06421483880132,91.68276742476795,10.618552585966626,13.098939658000688,Improved,9
legacy_40_25_20_15,LDV_07,3,DSS,True,0.47058823529411764,0.2941176470588235,0.23529411764705882,0.0,95.37902887699619,95.74502584849854,0.365996971502355,0.3837289767065633,Improved,8
legacy_40_25_20_15,LDV_08,4,,True,0.4,0.25,0.2,0.15,94.04586541191807,85.74787274125913,-8.297992670658942,-8.82334660254758,Declined,11
equal_25_25_25_25,HDV_01,4,,True,0.25,0.25,0.25,0.25,136.85960800203048,135.24547422092343,-1.614133781107057,-1.1794084497765838,Declined,3
equal_25_25_25_25,HDV_02,4,,True,0.25,0.25,0.25,0.25,136.06651370474978,137.65958747830368,1.593073773553897,1.1708051673982784,Improved,2
equal_25_25_25_25,HDV_03,4,,True,0.25,0.25,0.25,0.25,134.44591364732688,134.11996706226464,-0.3259465850622405,-0.24243695938371956,Declined,4
equal_25_25_25_25,HDV_04,4,,True,0.25,0.25,0.25,0.25,139.83092814716383,141.02060431994022,1.1896761727763874,0.8507961640105279,Improved,1
equal_25_25_25_25,LDV_01,4,,True,0.25,0.25,0.25,0.25,102.89819206478356,99.1825545433678,-3.7156375214157578,-3.61098426207181,Declined,7
equal_25_25_25_25,LDV_02,4,,True,0.25,0.25,0.25,0.25,125.22167295729629,118.67177671224879,-6.549896245047506,-5.230641062654692,Declined,5
equal_25_25_25_25,LDV_03,4,,True,0.25,0.25,0.25,0.25,96.92156743041599,102.8237755238623,5.902208093446305,6.08967462034056,Improved,6
equal_25_25_25_25,LDV_04,4,,True,0.25,0.25,0.25,0.25,81.8529044485451,83.55375410715351,1.700849658608405,2.077934399600449,Improved,10
equal_25_25_25_25,LDV_05,4,,True,0.25,0.25,0.25,0.25,77.24752006705396,75.93521794140037,-1.3123021256535878,-1.6988275151285852,Declined,12
equal_25_25_25_25,LDV_06,4,,True,0.25,0.25,0.25,0.25,77.23084199438391,91.18058055613204,13.949738561748134,18.062393470684334,Improved,9
equal_25_25_25_25,LDV_07,3,DSS,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,95.28086140631578,96.89103789662917,1.6101764903133926,1.6899264621957548,Improved,8
equal_25_25_25_25,LDV_08,4,,True,0.25,0.25,0.25,0.25,90.08882348760154,80.72710762709787,-9.36171586050368,-10.391650704365214,Declined,11
