vehicle,period,legacy_distance_km,legacy_fuel_used_l,legacy_fuel_efficiency_km_l,legacy_avg_speed_kmh,legacy_avg_rpm,legacy_rpm_efficiency_ratio,legacy_idle_ratio,legacy_harsh_braking_record_count,legacy_side_accel_record_count,v2_distance_km,v2_fuel_used_l,v2_fuel_efficiency_km_l,v2_avg_speed_kmh,v2_avg_rpm,v2_rpm_efficiency_ratio,v2_idle_ratio,v2_harsh_braking_event_count,v2_side_accel_event_count,distance_km_delta,distance_km_change_pct,fuel_used_l_delta,fuel_used_l_change_pct,fuel_efficiency_km_l_delta,fuel_efficiency_km_l_change_pct,avg_speed_kmh_delta,avg_speed_kmh_change_pct,avg_rpm_delta,avg_rpm_change_pct,rpm_efficiency_ratio_delta,rpm_efficiency_ratio_change_pct,idle_ratio_delta,idle_ratio_change_pct,rpm_efficiency_change_pp,idle_ratio_change_pp,harsh_event_reduction_pct,side_event_reduction_pct
LDV_03,before,1782.1,200.1800000000001,8.902487761015083,19.23437782464598,1176.8229481286933,0.3054935434449551,0.1552123069226439,5171,6171,1889.6,213.2800000000001,8.85971492873218,17.998875265381,1088.990993405186,0.2065433510049061,0.2578403673758988,21.0,101.0,107.5,6.032209191403401,13.099999999999994,6.544110300729337,-0.042772832282903295,-0.48045932138441083,-1.2355025592649795,-6.423407975702067,-87.83195472350735,-7.46348079489544,-0.09895019244004902,-32.39027290862473,0.10262806045325493,66.12108439597101,-9.895019244004901,10.262806045325492,99.59388899632566,98.36331226705558
LDV_04,after,2325.6,261.84000000000015,8.88175985334555,25.87654005745292,1346.540760502499,0.2343306767526678,0.1649030276729979,6428,6323,2325.6000000000004,260.6299999999992,8.922994283083327,27.185666519798374,1203.666829310548,0.1543113930244074,0.3404588368422407,146.0,110.0,4.547473508864641e-13,1.9553979656280706e-14,-1.2100000000009459,-0.46211426825578417,0.041234429737777134,0.46425967847177374,1.3091264623454535,5.059124826730462,-142.873931191951,-10.610442355910088,-0.08001928372826039,-34.14801887536024,0.17555580916924282,106.46002783973705,-8.00192837282604,17.55558091692428,97.72868699439951,98.26031946860667
LDV_04,before,1878.2,212.61999999999895,8.833599849496798,27.62196463654224,1374.1981532993354,0.2360917941585535,0.1406080128850412,6081,6132,2001.6,225.95999999999913,8.858204992034022,27.518510196946675,1249.421642511582,0.1721353966265915,0.2887405385742467,185.0,168.0,123.39999999999986,6.5701203279735845,13.340000000000174,6.274104035368374,0.024605142537224012,0.27854037941989906,-0.10345443959556633,-0.37453686208367004,-124.77651078775352,-9.0799504051272,-0.063956397531962,-27.089631708677874,0.14813252568920549,105.35141109654695,-6.3956397531962,14.813252568920548,96.95773721427396,97.26027397260275
LDV_05,after,1642.2,195.6700000000019,8.3927019982623,21.805275087574696,1272.4898532650946,0.244299041202384,0.1294927579424211,12010,13371,1650.8000000000002,195.88999999999945,8.427178518556358,18.66872713258567,1162.2141985429555,0.1902697743629433,0.3133990218471529,215.0,373.0,8.600000000000136,0.5236877359639591,0.2199999999975546,0.11243420043826466,0.03447652029405823,0.4107916652014638,-3.1365479549890267,-14.384353980364716,-110.27565472213905,-8.666132341973624,-0.054029266839440704,-22.11603720322479,0.1839062639047318,142.02050124417434,-5.40292668394407,18.39062639047318,98.2098251457119,97.21038067459428
LDV_05,before,1486.3,162.1700000000019,9.165073688104968,22.052145363247178,1286.7447280304918,0.2441848039041071,0.1265901031330318,11649,12920,1563.3,174.4499999999971,8.961306964746495,18.37772202027806,1184.7260274449486,0.203935055624286,0.3066105642971297,233.0,381.0,77.0,5.180649936082891,12.279999999995198,7.5723006721311314,-0.20376672335847346,-2.2232960725993425,-3.674423342969117,-16.662430264463204,-102.01870058554323,-7.928433539548624,-0.04024974827982111,-16.483314127781448,0.1800204611640979,142.2073738062421,-4.024974827982112,18.00204611640979,97.99982831144304,97.05108359133126
LDV_06,after,1488.8,193.1300000000001,7.708797183244442,25.262905779889152,1324.6263942121357,0.2577839025020456,0.136456702396724,3480,3431,1452.8,189.89000000000033,7.650745168255292,21.53946218149757,1201.0454382937917,0.209174247881974,0.304904048001703,53.0,57.0,-36.0,-2.418054809242343,-3.2399999999997817,-1.6776264692175116,-0.05805201498915036,-0.7530619058876018,-3.723443598391583,-14.73877799661382,-123.58095591834399,-9.329495203955055,-0.04860965462007158,-18.856745571879085,0.168447345604979,123.44380499189245,-4.860965462007158,16.8447345604979,98.47701149425288,98.33867677062081
LDV_06,before,1164.6,166.59000000000017,6.990815775256611,26.67949787121977,1400.6098267764037,0.2295428103589434,0.130829130165472,6736,6465,1320.4,188.38999999999945,7.008864589415596,22.10333672733546,1231.5583014059923,0.168922102685738,0.3190014767279618,123.0,116.0,155.80000000000018,13.377983857118341,21.799999999999272,13.086019569001289,0.01804881415898496,0.2581789413313848,-4.57616114388431,-17.152351089863636,-169.05152537041135,-12.069851441746247,-0.060620707673205376,-26.409325379614746,0.1881723465624898,143.830618092844,-6.062070767320538,18.817234656248978,98.17399049881234,98.20572312451662
LDV_07,after,1498.2,202.36999999999895,7.403271235855154,16.564138413142256,1144.2932179847207,0.3196847540538092,0.1353864613538646,0,0,1501.8,202.27000000000044,7.424729322193092,13.545306508692963,1066.822829064144,0.2427068579131237,0.2557577462476921,,,3.599999999999909,0.24028834601521218,-0.09999999999851639,-0.04941443889831344,0.021458086337937665,0.28984601069339366,-3.018831904449293,-18.225106728485816,-77.47038892057685,-6.77015188965415,-0.07697789614068548,-24.079314125730438,0.12037128489382751,88.90939588058856,-7.697789614068548,12.03712848938275,,
LDV_07,before,1142.7,138.39000000000124,8.257099501408987,17.813957475994513,1181.0704291417169,0.2829940119760479,0.1367544885464676,0,0,1273.1,155.76000000000022,8.17347200821776,14.474799296005225,1078.118506566538,0.2151085381482547,0.2747752193369578,,,130.39999999999986,11.411569090749966,17.36999999999898,12.551484933881657,-0.0836274931912282,-1.0127950278055635,-3.3391581799892887,-18.744617441065667,-102.95192257517897,-8.716831785382526,-0.0678854738277932,-23.988307510032723,0.1380207307904902,100.92592371737206,-6.78854738277932,13.802073079049022,,
LDV_08,after,1531.8,196.23999999999975,7.805748063595606,24.431040949231136,1348.2176479686534,0.2501546710661992,0.1265085166540238,7846,7228,1513.2,195.40999999999983,7.743718335806771,21.762074120790448,1203.0900807389955,0.202750234002471,0.2657566740296038,274.0,80.0,-18.59999999999991,-1.2142577359968605,-0.8299999999999272,-0.4229514879738729,-0.06202972778883442,-0.7946673052148359,-2.6689668284406878,-10.92449083109855,-145.12756722965787,-10.76440198274516,-0.04740443706372821,-18.95005072728921,0.13924815737558,110.07018425201889,-4.740443706372821,13.924815737558,96.50777466224828,98.89319313779745
LDV_08,before,1086.7,121.23000000000138,8.963952816959397,22.04247750575434,1275.590742020608,0.2868811259110329,0.1351596226616212,3527,3431,1252.5,140.8600000000024,8.891807468408198,20.58416168176595,1188.8570343925387,0.2446199621112965,0.2637612770736135,133.0,36.0,165.79999999999995,15.257200699365045,19.63000000000102,16.192361626660723,-0.07214534855119936,-0.8048385575468848,-1.4583158239883929,-6.615934273303395,-86.7337076280694,-6.799493346171381,-0.04226116379973638,-14.731245795808242,0.1286016544119923,95.14798271814719,-4.226116379973638,12.86016544119923,96.22908987808336,98.95074322354999
