vehicle,period,signal,signal_present,expected_start,expected_end_exclusive,input_record_count,invalid_timestamp_count,invalid_numeric_count,duplicate_timestamp_count,outlier_value_count,outside_period_count,interval_candidate_count,valid_interval_count,nonpositive_interval_count,long_gap_count,removed_interval_count,removed_interval_pct,valid_time_hours,first_timestamp,last_timestamp,expected_period_hours,start_delay_hours,end_shortfall_hours,observed_span_pct,reset_count,excessive_rate_count,valid_increment_count,removed_increment_count,removed_increment_pct,threshold_record_count,distinct_event_count
HDV_04,before,up_down_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,2093,0,0,0,0,0,2092,1913,0,179,179,8.55640535372849,4.417577777777778,2026-04-20 09:21:21.343000+09:00,2026-05-15 20:24:32.867000+09:00,720.0,57.35592861111111,51.590870277777775,84.868500154321,,,,,,,
LDV_01,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,25453,0,0,0,0,0,25452,25311,0,141,141,0.553983969825554,74.61303583333333,2026-04-20 09:16:30.293000+09:00,2026-05-15 17:28:53.380000+09:00,720.0,57.27508138888889,54.518505555555556,84.4731129243827,,,,,,,
LDV_01,before,engine_rpm,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,19117,0,0,0,0,0,19116,18934,0,182,182,0.9520820255283532,69.25217583333333,2026-04-20 09:16:30.347000+09:00,2026-05-15 17:28:53.380000+09:00,720.0,57.27509638888889,54.518505555555556,84.47311084104938,,,,,,,
LDV_01,before,fuel_used,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,5561,0,0,0,0,0,5560,5308,0,252,252,4.532374100719425,53.64120055555555,2026-04-20 09:16:43.973000+09:00,2026-05-15 17:29:10.550000+09:00,720.0,57.27888138888889,54.513736111111115,84.47324756944444,0.0,0.0,5560.0,0.0,0.0,,
LDV_01,before,odometer,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,0.0,0.0,0.0,0.0,,,
LDV_01,before,raw_odometer,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,0.0,0.0,0.0,0.0,,,
LDV_01,before,incremental_distance,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1476,0,0,0,0,0,1475,1054,0,421,421,28.54237288135593,39.65337583333333,2026-04-20 09:16:29.897000+09:00,2026-05-15 17:29:10.430000+09:00,720.0,57.274971388888886,54.51376944444445,84.47378599537036,,,,,,,
LDV_01,before,coolant_temp,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,684,0,0,0,0,0,683,306,0,377,377,55.19765739385066,14.704856944444444,2026-04-20 09:16:34.603000+09:00,2026-05-15 17:28:49.090000+09:00,720.0,57.27627861111111,54.51969722222222,84.47278113425926,,,,,,,
LDV_01,before,forward_braking,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,4470,0,0,0,0,0,4469,4128,0,341,341,7.6303423584694565,17.778377777777777,2026-04-20 09:34:39.480000+09:00,2026-05-15 17:26:48.030000+09:00,720.0,57.57763333333334,54.553325,84.42625578703704,,,,,,57.0,53.0
LDV_01,before,side_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,4667,0,0,0,0,0,4666,4325,0,341,341,7.308186883840549,17.778209444444446,2026-04-20 09:34:39.480000+09:00,2026-05-15 17:26:48.030000+09:00,720.0,57.57763333333334,54.553325,84.42625578703704,,,,,,89.0,73.0
LDV_01,before,up_down_acceleration,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,6923,0,0,0,0,0,6922,6581,0,341,341,4.926321872291245,17.77855472222222,2026-04-20 09:34:39.480000+09:00,2026-05-15 17:26:48.030000+09:00,720.0,57.57763333333334,54.553325,84.42625578703704,,,,,,,
LDV_02,before,vehicle_speed,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,21337,0,0,0,0,0,21336,21154,0,182,182,0.8530183727034121,56.48669805555556,2026-04-20 09:19:58.910000+09:00,2026-05-15 17:29:54.367000+09:00,720.0,57.33303055555556,54.50156472222222,84.46741732253086,,,,,,,
LDV_02,before,engine_rpm,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,14558,0,0,0,0,0,14557,14348,0,209,209,1.435735385038126,53.13810277777778,2026-04-20 09:19:58.967000+09:00,2026-05-15 17:29:57.973000+09:00,720.0,57.33304638888889,54.50056305555555,84.46755424382717,,,,,,,
LDV_02,before,fuel_used,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,3759,0,0,0,0,0,3758,3460,0,298,298,7.929749866950505,34.68204583333334,2026-04-20 09:20:12.540000+09:00,2026-05-15 17:30:20.770000+09:00,720.0,57.33681666666667,54.49423055555556,84.4679101080247,0.0,0.0,3758.0,0.0,0.0,,
LDV_02,before,odometer,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,0.0,0.0,0.0,0.0,,,
LDV_02,before,raw_odometer,False,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,0,0,0,0,0,0,0,0,0,0,0,,0.0,,,720.0,,,0.0,0.0,0.0,0.0,0.0,,,
LDV_02,before,incremental_distance,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1253,0,0,0,0,0,1252,860,0,392,392,31.309904153354633,29.964156666666668,2026-04-20 09:19:58.467000+09:00,2026-05-15 17:30:20.647000+09:00,720.0,57.332907500000005,54.494264722222226,84.46844830246914,,,,,,,
LDV_02,before,coolant_temp,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,586,0,0,0,0,0,585,188,0,397,397,67.86324786324786,8.794250555555557,2026-04-20 09:20:03.387000+09:00,2026-05-15 17:29:57.973000+09:00,720.0,57.33427416666666,54.50056305555555,84.46738371913581,,,,,,,
LDV_02,before,forward_braking,True,2026-04-18 00:00:00+09:00,2026-05-18 00:00:00+09:00,1227,0,0,0,0,0,1226,993,0,233,233,19.00489396411093,5.4319580555555556,2026-04-20 09:29:32.687000+09:00,2026-05-15 17:29:27.397000+09:00,720.0,57.49241305555556,54.50905638888889,84.44424035493827,,,,,,3.0,3.0
